filepath,transcription,duration
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012023/myst_012023_2013-11-13_08-57-22_MX_1.2/myst_012023_2013-11-13_08-57-22_MX_1.2_032.wav,no,0.65625
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004020/myst_004020_2013-11-18_09-21-01_EE_1.1/myst_004020_2013-11-18_09-21-01_EE_1.1_031.wav,i notice that there is always um the right side is always connected to the casing and the left side is always connected to the bottom,12.7186875
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995523/myst_995523_2010-05-03_00-00-00_ME_3.1/myst_995523_2010-05-03_00-00-00_ME_3.1_013.wav,um it it goes through the wires and then through the wir the other thing it goes through the bottom and then through the thing that lights up and then goes out the side,13.495
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012020/myst_012020_2013-11-22_12-19-40_MX_1.3/myst_012020_2013-11-22_12-19-40_MX_1.3_023.wav,if it's a larger things it can't goes through it,4.12725
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990068/myst_990068_2008-05-05_00-00-00_MS_2.3/myst_990068_2008-05-05_00-00-00_MS_2.3_058.wav,yeah um that surprised me but um you know i was really surprised on how much water a sponge could hold i mean that was just amazing,13.047
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995739/myst_995739_2011-24-02_00-00-00_ME_3.2/myst_995739_2011-24-02_00-00-00_ME_3.2_011.wav,cause the bulbs are lighter in the one the series circuit and the bulbs are actually dull,5.158
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004028/myst_004028_2014-02-03_09-33-45_EE_3.4/myst_004028_2014-02-03_09-33-45_EE_3.4_002.wav,we have been learning about magnets and how they work,3.5133125
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990042/myst_990042_2008-16-05_00-00-00_MS_4.2/myst_990042_2008-16-05_00-00-00_MS_4.2_148.wav,centimeters,1.285
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/005028/myst_005028_2014-02-03_10-38-32_MX_1.3/myst_005028_2014-02-03_10-38-32_MX_1.3_007.wav,the rocks and the water,1.625
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002297/myst_002297_2015-05-07_09-14-52_LS_3.4/myst_002297_2015-05-07_09-14-52_LS_3.4_019.wav,letter c d and h,3.13375
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/014013/myst_014013_2013-12-16_13-51-41_MX_1.2/myst_014013_2013-12-16_13-51-41_MX_1.2_015.wav,when the result is the same as the stuff going in we know that they're mass has been added together to make the result,10.019875
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002307/myst_002307_2015-04-21_09-22-54_LS_3.1/myst_002307_2015-04-21_09-22-54_LS_3.1_002.wav,we've been learning about plants veins and human veins,6.8506875
