filepath,transcription_clean
/srv/scratch/chacmod/OGI/speech/scripted/02/4/ksd1i/ksd1i3r0.wav,school
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa2y/ksa2y160.wav,employees
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ks92w/ks92w610.wav,he was really nice to us
/srv/scratch/chacmod/OGI/speech/scripted/05/2/ksg3e/ksg3e6e0.wav,the rain chased the dirt down the drain
/srv/scratch/chacmod/OGI/speech/scripted/07/0/ks70i/ks70i8b0.wav,updated
/srv/scratch/chacmod/OGI/speech/scripted/02/2/ks20n/ks20n250.wav,lumberyard
/srv/scratch/chacmod/OGI/speech/scripted/01/4/ksc3n/ksc3n6n0.wav,i'm sorry the dog ate your dinner
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks60p/ks60p5j0.wav,will you sing this song
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks949/ks9498a0.wav,unwilling
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ksk03/ksk032l0.wav,nothing
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksa3x/ksa3x7m0.wav,swoop
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ksk0s/ksk0s5j0.wav,will you sing this song
/srv/scratch/chacmod/OGI/speech/scripted/03/0/kse3e/kse3e3i0.wav,ragtime
/srv/scratch/chacmod/OGI/speech/scripted/03/2/kse00/kse002a0.wav,microwaves
/srv/scratch/chacmod/OGI/speech/scripted/03/3/ks30p/ks30p300.wav,obstacle
/srv/scratch/chacmod/OGI/speech/scripted/02/2/ksd09/ksd098n0.wav,withdrawn
/srv/scratch/chacmod/OGI/speech/scripted/01/3/ks12w/ks12w3f0.wav,points
/srv/scratch/chacmod/OGI/speech/scripted/03/3/ks333/ks333890.wav,unroll
/srv/scratch/chacmod/OGI/speech/scripted/08/0/ks80r/ks80r4d0.wav,chasing sally can be dangerous
/srv/scratch/chacmod/OGI/speech/scripted/10/3/ksa3z/ksa3z600.wav,because my leg is sore i can't play
/srv/scratch/chacmod/OGI/speech/scripted/05/3/ksg08/ksg088e0.wav,vaulted
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksa3q/ksa3q0p0.wav,civilized
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks90z/ks90z2c0.wav,misjudged
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ks93j/ks93j3f0.wav,points
/srv/scratch/chacmod/OGI/speech/scripted/06/0/ksh12/ksh124j0.wav,fred didn't try the carrot juice
/srv/scratch/chacmod/OGI/speech/scripted/08/4/ksj45/ksj451n0.wav,herbalist
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd49/ksd491h0.wav,fragment
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks33d/ks33d3v0.wav,the young emperor could not spell
/srv/scratch/chacmod/OGI/speech/scripted/03/3/kse47/kse478t0.wav,yields
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks135/ks1353c0.wav,picture
/srv/scratch/chacmod/OGI/speech/scripted/08/2/ksj3r/ksj3r5j0.wav,will you sing this song
/srv/scratch/chacmod/OGI/speech/scripted/05/3/ksg04/ksg04620.wav,eating blueberries gives you blue hands
/srv/scratch/chacmod/OGI/speech/scripted/04/4/ks411/ks4116j0.wav,we gathered sticks for the fire
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd3c/ksd3c5r0.wav,her veins pop out when she is mad
/srv/scratch/chacmod/OGI/speech/scripted/05/3/ksg12/ksg12500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/05/1/ksg3n/ksg3n060.wav,average
/srv/scratch/chacmod/OGI/speech/scripted/02/4/ksd3e/ksd3e6o0.wav,someone bought a beautiful ring for you
/srv/scratch/chacmod/OGI/speech/scripted/07/2/ks735/ks7355b0.wav,our tent can hold six people
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ksf2w/ksf2w2g0.wav,musician
/srv/scratch/chacmod/OGI/speech/scripted/01/4/ksc3e/ksc3e180.wav,engrave
/srv/scratch/chacmod/OGI/speech/scripted/00/5/ksb2x/ksb2x500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/05/3/ksg08/ksg085y0.wav,he breathed a sigh of relief
/srv/scratch/chacmod/OGI/speech/scripted/09/1/ks935/ks9358c0.wav,upward
/srv/scratch/chacmod/OGI/speech/scripted/07/4/ksi3j/ksi3j410.wav,i don't clean windows
/srv/scratch/chacmod/OGI/speech/scripted/10/3/ksl01/ksl01600.wav,because my leg is sore i can't play
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3h/ksa3h5v0.wav,you can see bugs light up the sky
/srv/scratch/chacmod/OGI/speech/scripted/08/4/ks80d/ks80d040.wav,aspire
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ksh02/ksh027a0.wav,steakhouse
/srv/scratch/chacmod/OGI/speech/scripted/06/4/ksh3w/ksh3w220.wav,lifeboats
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3u/ksa3u2a0.wav,microwaves
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ksj0p/ksj0p530.wav,the bird sang a sweet melody
/srv/scratch/chacmod/OGI/speech/scripted/04/1/ksf16/ksf16570.wav,don't make the same mistakes twice
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ks20z/ks20z7d0.wav,stooges
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh43/ksh431z0.wav,lawyer
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ks92t/ks92t680.wav,i'll rent an apartment tomorrow
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ks814/ks8147d0.wav,stooges
/srv/scratch/chacmod/OGI/speech/scripted/03/3/ks33q/ks33q5j0.wav,will you sing this song
/srv/scratch/chacmod/OGI/speech/scripted/06/0/ks600/ks6004f0.wav,people like to sing in cairo
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks02v/ks02v5l0.wav,why is the earth inside the milky way
/srv/scratch/chacmod/OGI/speech/scripted/05/2/ksg2x/ksg2x8n0.wav,withdrawn
/srv/scratch/chacmod/OGI/speech/scripted/05/1/ksg2y/ksg2y100.wav,digested
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ks71d/ks71d500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/01/1/ks13j/ks13j500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/04/4/ks40h/ks40h410.wav,i don't clean windows
/srv/scratch/chacmod/OGI/speech/scripted/03/4/ks30a/ks30a0o0.wav,circumstance
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks637/ks6375e0.wav,will you please bathe
/srv/scratch/chacmod/OGI/speech/scripted/03/2/kse0y/kse0y0h0.wav,bronco
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ksj0j/ksj0j3d0.wav,playhouse
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ks931/ks9318s0.wav,yellow
/srv/scratch/chacmod/OGI/speech/scripted/05/4/ks501/ks501750.wav,southmost
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ks814/ks8144p0.wav,the angry chef cooked his vegetables
/srv/scratch/chacmod/OGI/speech/scripted/03/3/ks333/ks333670.wav,the car went too fast
/srv/scratch/chacmod/OGI/speech/scripted/04/1/ksf0r/ksf0r500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ksk3a/ksk3a7f0.wav,studio
/srv/scratch/chacmod/OGI/speech/scripted/05/2/ksg0e/ksg0e8i0.wav,wash
/srv/scratch/chacmod/OGI/speech/scripted/01/3/ks12v/ks12v630.wav,that was an odd decision
/srv/scratch/chacmod/OGI/speech/scripted/09/0/ks91f/ks91f5m0.wav,they put my computer next to the books
/srv/scratch/chacmod/OGI/speech/scripted/08/0/ksj3o/ksj3o3w0.wav,the illusion looked like a giraffe
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks33t/ks33t5d0.wav,mabel grows tomatoes in the courtyard
/srv/scratch/chacmod/OGI/speech/scripted/03/2/ks331/ks3315l0.wav,why is the earth inside the milky way
/srv/scratch/chacmod/OGI/speech/scripted/08/4/ksj45/ksj457l0.wav,surround
/srv/scratch/chacmod/OGI/speech/scripted/05/4/ks505/ks5058f0.wav,vowel
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ksc0h/ksc0h5u0.wav,could lizards ever talk
/srv/scratch/chacmod/OGI/speech/scripted/03/1/ks31m/ks31m1p0.wav,hoof
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ksh3n/ksh3n2t0.wav,one nine seven four three five four
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ks73a/ks73a0q0.wav,cliffhanger
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3i/ksa3i8i0.wav,wash
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh0q/ksh0q100.wav,digested
/srv/scratch/chacmod/OGI/speech/scripted/00/2/ksb3o/ksb3o4u0.wav,stewart has five friends in richmond
/srv/scratch/chacmod/OGI/speech/scripted/04/0/ksf0c/ksf0c3v0.wav,the young emperor could not spell
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ksk3e/ksk3e8v0.wav,abnormal
/srv/scratch/chacmod/OGI/speech/scripted/06/0/ksh04/ksh041t0.wav,iceberg
/srv/scratch/chacmod/OGI/speech/scripted/08/2/ks817/ks8176y0.wav,slogan
/srv/scratch/chacmod/OGI/speech/scripted/05/1/ks52w/ks52w7n0.wav,tab
/srv/scratch/chacmod/OGI/speech/scripted/07/2/ksi3v/ksi3v6h0.wav,the speaker boomed from the car
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ksk3d/ksk3d6e0.wav,the rain chased the dirt down the drain
/srv/scratch/chacmod/OGI/speech/scripted/10/4/ksa0s/ksa0s2m0.wav,novel
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ksk0k/ksk0k0h0.wav,bronco
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksl1f/ksl1f6x0.wav,six
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ksh1c/ksh1c8v0.wav,abnormal
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ks12z/ks12z730.wav,soften
/srv/scratch/chacmod/OGI/speech/scripted/07/4/ksi3i/ksi3i460.wav,help me unroll the new rug
/srv/scratch/chacmod/OGI/speech/scripted/05/1/ksg3n/ksg3n2y0.wav,oasis
/srv/scratch/chacmod/OGI/speech/scripted/09/2/ksk1h/ksk1h6e0.wav,the rain chased the dirt down the drain
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks60p/ks60p7y0.wav,toothpaste
/srv/scratch/chacmod/OGI/speech/scripted/10/0/ksa3y/ksa3y5d0.wav,mabel grows tomatoes in the courtyard
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ksh0b/ksh0b670.wav,the car went too fast
/srv/scratch/chacmod/OGI/speech/scripted/10/3/ksa3z/ksa3z1r0.wav,hourly
/srv/scratch/chacmod/OGI/speech/scripted/02/0/ksd3h/ksd3h140.wav,easier
/srv/scratch/chacmod/OGI/speech/scripted/07/4/ksi0u/ksi0u310.wav,obvious
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks30f/ks30f2n0.wav,nuclear
/srv/scratch/chacmod/OGI/speech/scripted/04/4/ks40h/ks40h7q0.wav,ten
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ks62s/ks62s8v0.wav,abnormal
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ksk0y/ksk0y7q0.wav,ten
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ksh03/ksh030d0.wav,biology
/srv/scratch/chacmod/OGI/speech/scripted/05/4/ks54d/ks54d430.wav,i think cats are cute
/srv/scratch/chacmod/OGI/speech/scripted/10/1/ksa0z/ksa0z4s0.wav,who will the soldier vote for
