filepath,transcription_clean
/srv/scratch/chacmod/OGI/speech/scripted/08/4/ksj09/ksj091d0.wav,female
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/988451/myst_988451_2009-04-12_00-00-00_VB_2.2/myst_988451_2009-04-12_00-00-00_VB_2.2_022.wav,no they don't carry the all the same people
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007310/myst_007310_2015-03-13_11-53-52_SRL_1.2/myst_007310_2015-03-13_11-53-52_SRL_1.2_008.wav,down the mountain and it and it got like and it broke up into pieces because how much it hit and how hard it hit
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/008049/myst_008049_2014-04-03_11-06-53_EE_1.1/myst_008049_2014-04-03_11-06-53_EE_1.1_027.wav,the energy goes through the positive side comes out that on the negative side and its heating the filament making it brighter
/srv/scratch/chacmod/OGI/speech/scripted/00/4/ks02v/ks02v5a0.wav,i hope the airplane will get higher
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002016/myst_002016_2014-03-10_13-49-17_LS_2.1/myst_002016_2014-03-10_13-49-17_LS_2.1_044.wav,maybe it's from the chloride from the sun
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995741/myst_995741_2011-04-02_00-00-00_ME_1.2/myst_995741_2011-04-02_00-00-00_ME_1.2_016.wav,the magnet is sticking the um the screw is sticking to the magnet w and the screw is and the paper clip is sticking to the screw
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002304/myst_002304_2015-05-18_13-45-18_LS_4.2/myst_002304_2015-05-18_13-45-18_LS_4.2_014.wav,his skunk know much he spray that he sprays on on stuff so that's i think this one
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012028/myst_012028_2014-02-10_10-00-44_SRL_1.1/myst_012028_2014-02-10_10-00-44_SRL_1.1_001.wav,i'm okay hello hello
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007082/myst_007082_2014-04-24_09-54-01_EE_3.4/myst_007082_2014-04-24_09-54-01_EE_3.4_015.wav,the magnetic force
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012021/myst_012021_2013-12-20_08-54-44_MX_4.1/myst_012021_2013-12-20_08-54-44_MX_4.1_020.wav,what the heck do you mean
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ks131/ks1313p0.wav,safeway
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990045/myst_990045_2008-02-05_00-00-00_MS_2.2/myst_990045_2008-02-05_00-00-00_MS_2.2_144.wav,no
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ksf3b/ksf3b0i0.wav,cashflow
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007088/myst_007088_2014-02-12_11-08-30_EE_1.2/myst_007088_2014-02-12_11-08-30_EE_1.2_029.wav,when it's a cloudy day the motor stops running and then when it quick again on the cloudy day if the motor stops running
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/005012/myst_005012_2014-01-30_10-52-52_MX_1.2/myst_005012_2014-01-30_10-52-52_MX_1.2_002.wav,ah
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990032/myst_990032_2008-12-05_00-00-00_MS_3.3/myst_990032_2008-12-05_00-00-00_MS_3.3_090.wav,yes for the capacity
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ks62y/ks62y890.wav,unroll
/srv/scratch/chacmod/OGI/speech/scripted/04/1/ksf07/ksf078h0.wav,warmth
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004022/myst_004022_2014-01-24_09-38-37_EE_3.2/myst_004022_2014-01-24_09-38-37_EE_3.2_005.wav,the magnet is repelling
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990020/myst_990020_2008-01-05_00-00-00_MS_2.3/myst_990020_2008-01-05_00-00-00_MS_2.3_050.wav,yeah
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013016/myst_013016_2013-12-04_13-56-29_EE_1.3/myst_013016_2013-12-04_13-56-29_EE_1.3_004.wav,you when the switch is open like it is in the picture um those conduct the ones that conduct electricity you insert where the switch is
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/005016/myst_005016_2014-01-27_10-40-23_MX_1.1/myst_005016_2014-01-27_10-40-23_MX_1.1_027.wav,more rules that they have in creating the solution is when you put the salt into the water it creates a mixture dissolved
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990015/myst_990015_2008-24-04_00-00-00_MS_1.3/myst_990015_2008-24-04_00-00-00_MS_1.3_144.wav,maybe you're body or something
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002304/myst_002304_2015-05-04_13-47-10_LS_3.3/myst_002304_2015-05-04_13-47-10_LS_3.3_018.wav,what did you see
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks31b/ks31b500.wav,the flood took a car down the street
/srv/scratch/chacmod/OGI/speech/scripted/04/3/ks43l/ks43l1h0.wav,fragment
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007240/myst_007240_2014-11-19_11-10-20_MX_4.1/myst_007240_2014-11-19_11-10-20_MX_4.1_020.wav,no
/srv/scratch/chacmod/OGI/speech/scripted/03/3/kse47/kse470s0.wav,cooperate
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995005/myst_995005_2008-05-03_00-00-00_ME_3.2/myst_995005_2008-05-03_00-00-00_ME_3.2_156.wav,um yeah this one
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/008055/myst_008055_2014-05-12_10-35-25_EE_5.2/myst_008055_2014-05-12_10-35-25_EE_5.2_035.wav,the blue light
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ks814/ks8141p0.wav,hoof
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/993755/myst_993755_2011-28-02_00-00-00_VB_3.1/myst_993755_2011-28-02_00-00-00_VB_3.1_005.wav,popsicle sticks
/srv/scratch/chacmod/OGI/speech/scripted/05/3/ksg14/ksg142v0.wav,two six nine zero two two zero
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990051/myst_990051_2008-02-05_00-00-00_MS_2.2/myst_990051_2008-02-05_00-00-00_MS_2.2_036.wav,a hundred
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/022219/myst_022219_2014-12-01_11-39-49_LS_1.3/myst_022219_2014-12-01_11-39-49_LS_1.3_008.wav,you eat other living organism
/srv/scratch/chacmod/OGI/speech/scripted/09/3/ksk0s/ksk0s7z0.wav,tourists
/srv/scratch/chacmod/OGI/speech/scripted/03/1/kse4c/kse4c2y0.wav,oasis
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ks70k/ks70k4s0.wav,who will the soldier vote for
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013023/myst_013023_2014-05-22_12-39-20_LS_3.1/myst_013023_2014-05-22_12-39-20_LS_3.1_011.wav,leaves
/srv/scratch/chacmod/OGI/speech/scripted/04/1/ksf38/ksf381p0.wav,hoof
/srv/scratch/chacmod/OGI/speech/scripted/09/1/ks90t/ks90t4s0.wav,who will the soldier vote for
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ksh03/ksh035y0.wav,he breathed a sigh of relief
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990352/myst_990352_2009-02-04_00-00-00_MS_1.2/myst_990352_2009-02-04_00-00-00_MS_1.2_040.wav,yes i measured my friend and i thought she was going to be about four meters and she was only one and a half
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012210/myst_012210_2015-01-26_09-42-11_EE_5.1/myst_012210_2015-01-26_09-42-11_EE_5.1_012.wav,they all are reflecting off different ways like if the light goes down it reflects
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013060/myst_013060_2013-12-04_09-32-59_EE_1.3/myst_013060_2013-12-04_09-32-59_EE_1.3_010.wav,the sponge is an insulator and not a conductor
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksl17/ksl175t0.wav,please offer them a dinner mint
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/993203/myst_993203_2008-15-10_00-00-00_VB_3.2/myst_993203_2008-15-10_00-00-00_VB_3.2_049.wav,well if it had wings or not if you um the if you shook the string
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002026/myst_002026_2014-02-27_14-09-25_LS_1.1/myst_002026_2014-02-27_14-09-25_LS_1.1_003.wav,they all have system
/srv/scratch/chacmod/OGI/speech/scripted/05/0/ksg34/ksg344j0.wav,fred didn't try the carrot juice
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007253/myst_007253_2014-10-07_08-27-50_MX_2.2/myst_007253_2014-10-07_08-27-50_MX_2.2_003.wav,is a mixtures and there solution
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002309/myst_002309_2015-04-21_09-26-45_LS_3.1/myst_002309_2015-04-21_09-26-45_LS_3.1_007.wav,it's palmate because it spreads out like a hand
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012023/myst_012023_2014-02-18_10-14-08_SRL_1.2/myst_012023_2014-02-18_10-14-08_SRL_1.2_011.wav,abrasion is a type of physical weathering
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013016/myst_013016_2014-04-22_13-57-20_LS_1.3/myst_013016_2014-04-22_13-57-20_LS_1.3_030.wav,that makes them a detrivores because they eat decaying matter
/srv/scratch/chacmod/OGI/speech/scripted/06/3/ks61e/ks61e5h0.wav,she'll be ready very soon
/srv/scratch/chacmod/OGI/speech/scripted/07/0/ksi11/ksi11320.wav,offshore
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/013013/myst_013013_2014-05-05_09-12-56_LS_2.1/myst_013013_2014-05-05_09-12-56_LS_2.1_052.wav,is
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks948/ks9480o0.wav,circumstance
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007256/myst_007256_2015-02-18_11-51-36_LS_2.3/myst_007256_2015-02-18_11-51-36_LS_2.3_013.wav,they keep everything inside your body uhm safe just like a bug with its skeleton over its body and it's kind of like the skin to the bug
/srv/scratch/chacmod/OGI/speech/scripted/06/2/ksh49/ksh492a0.wav,microwaves
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/996271/myst_996271_2008-18-12_00-00-00_MS_3.1/myst_996271_2008-18-12_00-00-00_MS_3.1_040.wav,um i don't really know we did a talk about that
/srv/scratch/chacmod/OGI/speech/scripted/02/2/ksd39/ksd39070.wav,awesome
/srv/scratch/chacmod/OGI/speech/scripted/05/3/ksg14/ksg14840.wav,truck
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/988451/myst_988451_2009-08-12_00-00-00_VB_2.3/myst_988451_2009-08-12_00-00-00_VB_2.3_069.wav,bye bye
/srv/scratch/chacmod/OGI/speech/scripted/09/4/ks948/ks9480j0.wav,cautiously
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/995001/myst_995001_2008-27-02_00-00-00_ME_1.2/myst_995001_2008-27-02_00-00-00_ME_1.2_031.wav,yeah
/srv/scratch/chacmod/OGI/speech/scripted/08/0/ksj0z/ksj0z810.wav,toyota
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990016/myst_990016_2008-08-05_00-00-00_MS_3.3/myst_990016_2008-08-05_00-00-00_MS_3.3_074.wav,um yeah we've explored water bottles we've explored spoons
/srv/scratch/chacmod/OGI/speech/scripted/10/4/ksa3j/ksa3j6l0.wav,my sleeve caught the thorny bush
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990557/myst_990557_2010-06-04_00-00-00_MS_1.2/myst_990557_2010-06-04_00-00-00_MS_1.2_013.wav,no it does not because snakes can be all different sizes
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/004034/myst_004034_2014-02-03_09-33-29_EE_3.4/myst_004034_2014-02-03_09-33-29_EE_3.4_012.wav,magnetic force
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/005012/myst_005012_2014-02-13_10-21-48_MX_3.1/myst_005012_2014-02-13_10-21-48_MX_3.1_004.wav,hello
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ks62u/ks62u570.wav,don't make the same mistakes twice
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990038/myst_990038_2008-08-05_00-00-00_MS_3.1/myst_990038_2008-08-05_00-00-00_MS_3.1_033.wav,yeah and then we're gonna go to so when we're d and then we get it we go to his house and then we watch a violent movie
