filepath,transcription,duration
/srv/scratch/chacmod/OGI/speech/scripted/05/1/ksg3o/ksg3o1z0.wav,lawyer,1.9881875
/srv/scratch/chacmod/OGI/speech/scripted/05/2/ks536/ks5368s0.wav,yellow,1.31225
/srv/scratch/chacmod/OGI/speech/scripted/01/0/ks13a/ks13a000.wav,advantage,4.1160625
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ks70f/ks70f7p0.wav,temptation,3.52975
/srv/scratch/chacmod/OGI/speech/scripted/01/4/ks133/ks133400.wav,greet me with open arms,4.612
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ksc3c/ksc3c5c0.wav,give keith a moment to think,6.118625
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ks23l/ks23l0s0.wav,cooperate,3.1158125
/srv/scratch/chacmod/OGI/speech/scripted/05/4/ks505/ks5056j0.wav,we gathered sticks for the fire,3.5174375
/srv/scratch/chacmod/OGI/speech/scripted/05/2/ks509/ks5092z0.wav,objected,2.168625
/srv/scratch/chacmod/OGI/speech/scripted/08/1/ksj0p/ksj0p7n0.wav,tab,4.2604375
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa3u/ksa3u2a0.wav,microwaves,2.3589375
/srv/scratch/chacmod/OGI/speech/scripted/10/2/ksa48/ksa487j0.wav,suggest,1.4975625
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks31c/ks31c440.wav,that pink marble cost me a dollar,6.5930625
/srv/scratch/chacmod/OGI/speech/scripted/03/4/kse3h/kse3h1d0.wav,female,2.12275
/srv/scratch/chacmod/OGI/speech/scripted/04/2/ks43e/ks43e1q0.wav,hopeful,1.9880000000000002
/srv/scratch/chacmod/OGI/speech/scripted/07/1/ksi14/ksi147d0.wav,stooges,1.9684375
/srv/scratch/chacmod/OGI/speech/scripted/03/4/kse4b/kse4b3g0.wav,punishment,3.0790625
/srv/scratch/chacmod/OGI/speech/scripted/00/1/ksb3h/ksb3h4j0.wav,fred didn't try the carrot juice,6.1195625
/srv/scratch/chacmod/OGI/speech/scripted/01/2/ks12z/ks12z0w0.wav,cultures,2.3120625
/srv/scratch/chacmod/OGI/speech/scripted/03/4/ks33g/ks33g470.wav,the dog is a big gentle puppy,6.1186875
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ksi0r/ksi0r6z0.wav,smashed,1.9679375
/srv/scratch/chacmod/OGI/speech/scripted/03/0/ks33r/ks33r500.wav,the flood took a car down the street,6.6151875
