filepath,transcription,duration
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990359/myst_990359_2009-03-04_00-00-00_MS_1.3/myst_990359_2009-03-04_00-00-00_MS_1.3_006.wav,what,0.94
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/996409/myst_996409_2009-24-09_00-00-00_VB_3.1/myst_996409_2009-24-09_00-00-00_VB_3.1_011.wav,the propellers were um are um the things that excuse me the things that spin and made,12.543
/srv/scratch/chacmod/OGI/speech/scripted/02/3/ksd0t/ksd0t210.wav,lethargic,2.0884375
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/007088/myst_007088_2014-02-12_11-08-30_EE_1.2/myst_007088_2014-02-12_11-08-30_EE_1.2_022.wav,there is good little hexagrams are like energy they hold energy and each one,7.6149375
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/008236/myst_008236_2015-02-05_13-30-41_EE_4.1/myst_008236_2015-02-05_13-30-41_EE_4.1_022.wav,it's a parallel,2.752125
/srv/scratch/chacmod/OGI/speech/scripted/07/3/ksi04/ksi043l0.wav,represents,2.3383125
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/002305/myst_002305_2015-03-13_13-09-32_LS_1.3/myst_002305_2015-03-13_13-09-32_LS_1.3_025.wav,a water consumer,1.36025
/srv/scratch/chacmod/OGI/speech/scripted/06/1/ksh11/ksh11380.wav,pathetic,1.9683125
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/990083/myst_990083_2008-09-05_00-00-00_MS_3.2/myst_990083_2008-09-05_00-00-00_MS_3.2_004.wav,um good,3.444
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/014028/myst_014028_2013-12-16_13-52-35_MX_1.2/myst_014028_2013-12-16_13-52-35_MX_1.2_024.wav,a solution,1.723625
/srv/scratch/chacmod/OGI/speech/scripted/02/1/ksd2x/ksd2x4u0.wav,stewart has five friends in richmond,6.6155625
/srv/scratch/chacmod/MyST/myst-v0.3.0-171fbda/corpora/myst/data/012018/myst_012018_2013-12-20_08-38-29_MX_4.1/myst_012018_2013-12-20_08-38-29_MX_4.1_039.wav,they are pouring a certain liquid into some water and a chemical reaction might have occurred because now the water is,10.4618125
/srv/scratch/chacmod/OGI/speech/scripted/09/0/ks93z/ks93z710.wav,smoothly,1.607125
/srv/scratch/chacmod/OGI/speech/scripted/10/4/ksa0j/ksa0j3m0.wav,rock,2.796625
